"vCenter";"HostName";"ESXi_Version";"HostSockets";"HostCoresPerSocket";"HostMemoryGB";"HostPowerPolicy";"VMName";"VMNumSockets";"VMCoresPerSocket";"vCPUs";"VMMemoryGB";"VMCPUsOptimized";"OptimalSockets";"OptimalCores"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 176";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.116";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 177";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.142";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 178";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.10";"6.5.0";"2";"22";"512";"Balanced";"Win 2016 - HYBPOCHTA";"4";"1";"4";"64";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 169";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 170";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.127";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 171";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.129";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 172";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.103";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - XenApp6.5 - 173";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"172.30.73.6";"6.5.0";"2";"22";"512";"Balanced";"DOCKER02";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.144";"6.5.0";"2";"22";"512";"Balanced";"Win 2008 - Ib DB1";"2";"1";"2";"16";"NO";"1";"2"
"vcenter.kazpost.kz";"172.30.73.10";"6.5.0";"2";"22";"512";"Balanced";"Win 2012 - VLS(Lync)";"2";"4";"8";"20";"NO";"1";"8"
"vcenter.kazpost.kz";"esxkok.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - KOKSRV";"2";"2";"4";"8";"NO";"1";"4"
"vcenter.kazpost.kz";"esxkok.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2008 - SCCMKOK";"1";"2";"2";"8";"YES";"1";"2"
"vcenter.kazpost.kz";"esxkok.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"CentOS 7 Zabbix Proxy KOK";"2";"1";"2";"4";"NO";"1";"2"
"vcenter.kazpost.kz";"esxkok.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKOK02";"8";"1";"8";"6";"NO";"1";"8"
"vcenter.kazpost.kz";"esxkok.kazpost.kz";"6.5.0";"2";"10";"64";"Balanced";"Win 2012 - DCKOK01";"8";"1";"8";"12";"NO";"1";"8"
